#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	ExtractionBlank_S77_R1_cat_kneaddata	Serife-CON1_S49_R1_cat_kneaddata	Serife-CON2_S50_R1_cat_kneaddata	Serife-CON3_S51_R1_cat_kneaddata	Serife-CON4_S52_R1_cat_kneaddata	Serife-CON5_S53_R1_cat_kneaddata	Serife-CON6_S54_R1_cat_kneaddata	Serife-KD1_S69_R1_cat_kneaddata	Serife-KD2_S70_R1_cat_kneaddata	Serife-KD3_S71_R1_cat_kneaddata	Serife-KD4_S72_R1_cat_kneaddata	Serife-KD5_S73_R1_cat_kneaddata	Serife-KD6_S74_R1_cat_kneaddata	Serife-KD7_S75_R1_cat_kneaddata	Serife-KD8_S76_R1_cat_kneaddata	Serife-MMKD1_S61_R1_cat_kneaddata	Serife-MMKD2_S62_R1_cat_kneaddata	Serife-MMKD3_S63_R1_cat_kneaddata	Serife-MMKD4_S64_R1_cat_kneaddata	Serife-MMKD5_S65_R1_cat_kneaddata	Serife-MMKD6_S66_R1_cat_kneaddata	Serife-MMKD7_S67_R1_cat_kneaddata	Serife-MMKD8_S68_R1_cat_kneaddata	Serife-SCOP1_S55_R1_cat_kneaddata	Serife-SCOP2_S56_R1_cat_kneaddata	Serife-SCOP3_S57_R1_cat_kneaddata	Serife-SCOP4_S58_R1_cat_kneaddata	Serife-SCOP5_S59_R1_cat_kneaddata	Serife-SCOP6_S60_R1_cat_kneaddata
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_murinus|t__SGB7077	0.0	0.26831	13.17599	1.53854	4.25292	2.15705	2.63896	0.0	0.0	0.00699	0.00959	0.00959	0.00026	0.00583	0.00283	1.26903	1.49083	0.05678	1.65487	0.08105	0.76518	0.02263	0.90623	1.41966	6.71902	5.87403	4.94693	9.32993	1.08859
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1538|s__GGB1538_SGB2121|t__SGB2121	0.0	0.26498	0.0	0.13617	0.07725	0.2258	0.38774	0.88305	1.19877	0.73782	3.42443	1.13122	2.45712	1.99931	1.34259	0.42661	1.89769	1.00972	0.09759	0.71653	0.05526	0.0134	0.06517	0.0	1.42907	0.27264	0.00818	0.57043	0.03763
k__Bacteria|p__Firmicutes|c__CFGB8118|o__OFGB8118|f__FGB8118|g__GGB29005|s__GGB29005_SGB41723|t__SGB41723	0.0	0.25835	5.00968	4.35631	0.0	11.90888	6.64854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48974	3.9451	0.0	0.0	1.34871	0.06601
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_reuteri|t__SGB7095	0.0	0.24985	0.27641	0.01438	0.02443	0.01263	0.69501	0.06271	0.25082	0.0	0.39081	0.19274	0.08363	0.02427	0.04201	3.16435	2.97271	0.61535	1.8595	0.0	2.30435	1.36755	0.41287	0.24596	1.46121	3.88974	0.19237	0.20599	0.03387
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1217|s__GGB1217_SGB1583|t__SGB1583	0.0	0.24786	0.85145	5.08676	3.31124	0.08652	0.24767	0.0	0.0	0.02156	0.00026	0.00118	0.00102	0.03861	0.00011	0.0	0.0444	0.0	0.59777	0.18533	0.0	1.27063	1.06868	0.30149	0.07374	0.08338	0.05672	0.27667	0.16461
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_murdochii|t__SGB5970	0.0	0.21781	0.37525	0.94161	0.0	0.33998	3.67376	0.63865	1.09134	0.10236	0.18776	0.34171	0.22467	0.136	0.55678	0.01999	0.0	0.17116	0.0	0.54752	0.06247	0.0	0.07202	0.11487	2.75541	1.54247	0.00542	0.40449	0.00109
k__Bacteria|p__Firmicutes|c__CFGB9660|o__OFGB9660|f__FGB9660|g__GGB29004|s__GGB29004_SGB41721|t__SGB41721	0.0	0.21722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB24147|s__GGB24147_SGB35951|t__SGB35951	0.0	0.20317	0.31567	0.01193	0.21317	1.05367	0.2588	0.0	0.11201	0.0	0.04607	0.12762	0.58387	0.0	0.25739	0.02911	0.4142	0.0	0.00743	0.0	0.0	0.54623	0.43406	0.0	0.0746	0.30844	0.0	0.51235	0.03794
k__Bacteria|p__Bacteroidota|c__CFGB658|o__OFGB658|f__FGB658|g__GGB35027|s__GGB35027_SGB48128|t__SGB48128	0.0	0.19743	0.0	0.06661	0.08366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05688	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31822|s__GGB31822_SGB45198|t__SGB45198	0.0	0.19269	0.13536	0.0189	0.00573	0.07823	0.0031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14614	0.99243	0.0	0.67812	0.0	0.0	0.06648	0.06026	0.0	0.20279	0.07884	0.0	0.23704	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28951|s__GGB28951_SGB102295|t__SGB102295	0.0	0.16176	0.33349	0.10502	0.2784	0.14191	0.22354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04306	0.0	0.08922	0.0	0.0	0.13117	0.0	0.1555	0.57084	0.15767	0.11566	0.52207	0.06611
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023|f__FGB3023|g__GGB30090|s__GGB30090_SGB43002|t__SGB43002	0.0	0.15854	0.28634	0.01035	0.13283	0.06295	0.04688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02152	0.05441	0.0218	0.0	0.0	0.34151	0.38653	0.09728	0.0	0.20781	0.09591	0.27046	0.0357
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30457|s__GGB30457_SGB63218|t__SGB63218	0.0	0.15637	1.39723	0.15579	0.36417	0.20778	0.4603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00225	0.0	0.14916	0.0	0.0	0.24397	0.16364	0.30141	0.4074	0.0	0.07488	0.85252	0.27047
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1518|s__GGB1518_SGB2100|t__SGB2100	0.0	0.15523	0.13201	0.13023	0.06343	0.34609	1.0866	0.34623	0.11034	0.05102	0.34687	0.29807	0.4975	0.0517	0.23492	2.90088	2.5594	2.61731	4.87057	1.19023	3.67604	3.88238	2.56759	0.26886	0.08687	0.01438	0.28214	0.0	0.00755
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__GGB1408|s__GGB1408_SGB1933|t__SGB1933	0.0	0.15372	0.0	0.18337	0.0	0.0	0.0	0.14037	0.17209	0.10983	0.10872	0.2369	0.13964	0.25691	0.24444	0.0	0.01241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03162	0.0	0.04615	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1527|s__GGB1527_SGB2110|t__SGB2110	0.0	0.13207	0.0	0.0	0.0	0.0	0.03177	0.38717	0.50601	0.05525	0.46601	0.2732	0.90654	0.22338	0.50302	3.41394	3.89848	1.24571	0.82066	0.29303	1.27174	0.27183	1.37667	0.0	0.16156	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB70869|s__GGB70869_SGB2145|t__SGB2145	0.0	0.1274	0.29306	0.16413	0.03804	0.43402	0.6898	0.01525	0.0	0.01579	0.03419	0.05379	0.06191	0.0159	0.02786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01503	0.35071	0.09684	0.01504	1.33945	0.0054
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_provencensis|t__SGB14748	0.0	0.1131	0.89118	0.06581	0.01682	0.66154	0.03129	0.01993	0.01086	0.06575	0.08996	0.07326	0.11225	0.02797	0.03296	0.96261	0.64443	0.57516	2.78627	0.24627	0.47729	0.74189	0.18821	0.02448	0.49059	4.41659	0.00186	1.9479	0.38618
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3793|s__GGB3793_SGB41498|t__SGB41498	0.0	0.10721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB50207|s__GGB50207_SGB70279|t__SGB70279	0.0	0.10234	0.0	0.14842	0.42606	0.0	0.0464	0.0	0.03952	0.02728	0.15898	0.04354	0.23666	0.0029	0.14049	0.08186	0.56214	0.0	0.25078	0.0476	0.30589	0.1628	0.30141	0.1006	0.40295	1.18652	0.02401	0.0	0.06812
k__Bacteria|p__Firmicutes|c__CFGB30287|o__OFGB30287|f__FGB30287|g__GGB30287|s__GGB30287_SGB43249|t__SGB43249	0.0	0.0956	0.0	0.05209	0.0212	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.0	0.23109	2.02674	1.94652	1.08571	0.0	0.04856	2.30637	1.1518	0.0	0.0	0.0	0.0	0.08167	0.01079
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1553|s__GGB1553_SGB2140|t__SGB2140	0.0	0.09176	0.0	0.02869	0.0276	0.0	0.37381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB10239|o__OFGB10239|f__FGB10239|g__GGB31228|s__GGB31228_SGB44528|t__SGB44528	0.0	0.09109	0.52821	0.03489	0.59067	0.04906	0.29378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16051	0.0	0.17225	3.27099	0.0	0.50031	0.84573	0.07367
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Candidatus_Arthromitus|s__Candidatus_Arthromitus_sp_SFB_rat_Yit|t__SGB8527	0.0	0.07856	1.16007	0.24	0.0	0.0	0.16953	0.0	0.18678	0.0	0.01482	0.04896	0.0	0.00191	0.0	0.0	0.0	0.03311	0.0	0.0	0.0	0.0	0.0	0.39913	0.15571	0.25642	0.13546	0.07252	0.00475
k__Bacteria|p__Firmicutes|c__CFGB39981|o__OFGB39981|f__FGB39981|g__GGB42027|s__GGB42027_SGB59167|t__SGB59167	0.0	0.07803	0.13556	0.03124	0.04506	0.07608	0.14397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09118	0.06685	0.0	0.01283	0.0409	0.00937
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_hampsonii|t__SGB5973	0.0	0.0718	0.0	0.11499	0.0	0.0	0.13258	0.05607	0.16695	0.0	0.00853	0.0	0.0	0.03365	0.00615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91829	0.59961	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30461|s__GGB30461_SGB63209|t__SGB63209	0.0	0.06855	0.1699	0.02863	0.13472	0.06295	0.09742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00197	0.0	0.09061	0.0	0.00326	0.04947	0.05399	0.15446
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis|t__SGB24891	0.0	0.06828	0.20546	0.10792	0.038	0.00595	0.03727	1.2818	2.69415	0.49728	0.79068	0.86212	0.36047	0.32839	0.19957	3.94203	3.10975	0.46968	4.82075	0.0	1.36643	6.76246	2.8064	1.48482	3.12951	8.29195	0.27885	0.81353	0.26426
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1575|s__GGB1575_SGB2162|t__SGB2162	0.0	0.06491	0.0	0.55088	0.13901	0.0	0.12099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22905	0.12684	1.38402	0.0
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB9412|s__GGB9412_SGB14768|t__SGB14768	0.0	0.06451	0.25375	0.0	0.08942	0.009	0.2054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11522	4.11281	0.06123	0.17937	0.08163
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30470|s__GGB30470_SGB94994|t__SGB94994	0.0	0.06406	0.0	0.0	0.01334	0.00419	0.0	0.0	0.0	0.0	0.0	0.0306	0.08671	0.0	0.0	0.38894	2.81057	0.0	0.01667	0.0	0.0	0.00174	0.65502	1.75726	0.0	1.3641	0.17499	0.0	0.0813
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB70871|s__GGB70871_SGB95324|t__SGB95324	0.0	0.06219	0.0	0.0	0.0	0.00118	0.0211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13087	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_SGB74214|t__SGB74214	0.0	0.05639	0.0	0.18824	0.0	0.08803	0.06771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09503	0.0	0.0	0.00184	0.0	0.00212
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1550|s__GGB1550_SGB2135|t__SGB2135	0.0	0.04662	0.0	0.00988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1582|s__GGB1582_SGB2173|t__SGB2173	0.0	0.04315	1.1038	0.78653	0.63334	0.07909	0.89032	0.0	0.11583	0.0	0.13095	0.02101	0.47338	0.01045	0.02456	0.2682	1.08971	0.04209	0.4708	0.04629	0.40667	0.65875	0.53328	0.71853	3.13858	7.47135	0.25221	3.94102	0.11511
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_intestinalis|t__SGB3193	0.0	0.04012	0.0	0.0	0.0366	0.37329	1.3802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19675	0.0938	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB9819|s__GGB9819_SGB40890|t__SGB40890	0.0	0.03494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00181	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__GGB1425|s__GGB1425_SGB1964|t__SGB1964	0.0	0.0334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB30147|s__GGB30147_SGB43074|t__SGB43074	0.0	0.03281	0.0	0.09084	0.11664	0.23388	0.01051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00442	0.0	0.0	0.11003	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45536|s__GGB45536_SGB63216|t__SGB63216	0.0	0.03128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0152	0.0	0.0	0.01035	0.0	0.03335
k__Bacteria|p__Bacteroidota|c__CFGB74566|o__OFGB74566|f__FGB74566|g__GGB1513|s__GGB1513_SGB2093|t__SGB2093	0.0	0.03085	0.56586	0.60281	0.15903	1.0046	0.92771	0.1396	0.33136	0.08478	0.44318	0.04658	0.016	0.07032	0.03386	0.28129	0.30593	0.05736	0.32806	0.80582	0.16491	0.36782	0.32951	0.73706	0.04709	0.13872	0.06184	0.12876	0.05137
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella_copri|t__SGB1626	0.0	0.02947	5.78387	3.47496	0.0	9.9277	0.0	0.09963	0.0	2.07476	0.0	0.34036	0.04178	2.77029	0.0015	0.0	0.0	0.0	0.0	1.01093	0.0	0.0	0.0	0.0	1.13352	0.33727	0.06911	0.28073	0.14346
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB1690|s__GGB1690_SGB2322|t__SGB2322	0.0	0.02484	0.19042	0.09208	0.1013	0.06027	0.41331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11523	0.0	0.0	0.06001	0.30544	0.03364
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404|f__FGB2404|g__GGB6613|s__GGB6613_SGB9347|t__SGB9347	0.0	0.02356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30461|s__GGB30461_SGB43533|t__SGB43533	0.0	0.0197	0.33976	0.08065	0.06854	0.03982	0.0547	0.0	0.0	0.06371	0.09699	0.02415	0.21411	0.02388	0.09107	0.0	0.01195	0.0357	0.07749	0.0	0.0	0.06304	0.06296	0.02181	0.0	0.0	0.0	0.0	2.38274
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_cholecystus|t__SGB21971	0.0	0.01915	0.01305	0.03117	0.0	0.00914	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.00539	0.00041	0.00335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05134	0.0	0.0	0.00364	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Oscillospiraceae_unclassified_SGB43503|t__SGB43503	0.0	0.01871	0.0	0.0	0.0	0.02952	0.03012	0.0	0.0	0.02407	0.02961	0.0	0.03885	0.0	0.00084	0.0	0.0	0.0	0.0	0.0	0.0	0.00779	0.0	0.0	0.0	0.0	0.01315	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260|f__FGB1260|g__GGB29535|s__GGB29535_SGB36365|t__SGB36365	0.0	0.01794	0.0	0.0	0.0	0.17267	0.0	0.0	0.0	0.0	0.0044	0.08732	0.23814	0.03211	0.04513	0.0	0.02058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20442	0.0	0.3103	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9365|s__GGB9365_SGB14342|t__SGB14342	0.0	0.01563	0.01991	0.0	0.05421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1741	0.32817	0.0	0.35198	0.02168
k__Bacteria|p__Firmicutes|c__CFGB9655|o__OFGB9655|f__FGB9655|g__GGB28992|s__GGB28992_SGB41706|t__SGB41706	0.0	0.01559	0.0	0.43225	0.0	0.0	0.19052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45514|s__GGB45514_SGB63186|t__SGB63186	0.0	0.01448	0.0	0.0	0.05116	0.01525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28594
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31822|s__GGB31822_SGB45197|t__SGB45197	0.0	0.01275	0.02604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00393	0.0	0.07951	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28835|s__GGB28835_SGB41494|t__SGB41494	0.0	0.01046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09441	0.0	0.0	0.04681	0.0	0.00232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45513|s__GGB45513_SGB63185|t__SGB63185	0.0	0.00986	0.0	0.0	0.0	0.00501	0.0	0.0	0.0	0.0	0.0	0.0	0.00137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00299	0.0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31823|s__GGB31823_SGB45199|t__SGB45199	0.0	0.00599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13679	0.0	0.52062	0.0	0.0	0.0495	0.0	0.0	0.0	0.0	0.0	0.07128	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium|t__SGB41508	0.0	0.00354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00931	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9655|o__OFGB9655|f__FGB9655|g__GGB28992|s__GGB28992_SGB41707|t__SGB41707	0.0	0.00199	0.0	0.33928	0.0	0.0	0.09369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_sp_DSM_110981|t__SGB41548	0.0	0.00197	0.0	0.00222	0.03998	0.0	0.06382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00263	0.04612	0.07712
k__Bacteria|p__Candidatus_Saccharibacteria	0.0	0.0	0.1393	0.00281	0.0	0.0	0.43467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17294	0.0	0.45571	0.86792
k__Bacteria|p__Chlamydiae	0.0	0.0	0.06007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified	0.0	0.0	0.05502	0.07063	0.1231	0.04636	0.16208	0.0	0.0	0.0	0.0	0.0	0.00173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00579	0.29519	0.0519	0.07354	0.12686	1.42774
k__Bacteria|p__Bacteroidota|c__CFGB4425	0.0	0.0	0.47907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1227	0.0	0.0	0.20153	0.02002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30332	0.79405	0.0	0.2595	0.0	0.14828	0.25027	0.29916	0.0	0.0	0.82565	0.0	0.59493	0.02628
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318	0.0	0.0	0.1393	0.00281	0.0	0.0	0.43467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17294	0.0	0.45571	0.86792
k__Bacteria|p__Chlamydiae|c__Chlamydiia	0.0	0.0	0.06007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	0.0	0.0	0.05502	0.06668	0.08551	0.03091	0.16208	0.0	0.0	0.0	0.0	0.0	0.00173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00579	0.29519	0.02984	0.0505	0.12686	1.36979
